slug,nome,municipio,uf,api_integrada,cupom_bradesco,hotel_id,regiao,experiencia,destino
valle-dincanto-hotel,Valle D'Incanto Hotel,Gramado,RS,SIM,SIM,5718,sul,serra,Gramado
vila-cerrado,Vila Cerrado,Alto Paraiso de Goiás,GO,SIM,NÃO,18750,centro-oeste,Campo,Chapada dos Veadeiros
vila-de-alter,Vila de Alter,Santarem,PA,NÃO,NÃO,,norte,praia,Alter do Chão
vila-entre-chaves,Vila Entre Chaves,Passo do Camaragibe,AL,NÃO,NÃO,,nordeste,praia,Costa dos Corais
vila-kalango,Vila Kalango,Jericoacoara,CE,SIM,SIM,3089,nordeste,praia,Jericoacoara
villa-do-valle-boutique-hotel,Villa do Valle Boutique Hotel,Blumenau,SC,SIM,NÃO,8535,sul,Serra,Blumenau
villa-dos-nativos,Villa dos Nativos,Porto Seguro,BA,SIM,NÃO,12210,nordeste,praia,Trancoso
villa-dozio,Villa D'Ozio,Itajaí,SC,NÃO,SIM,,sul,praia,Praia Brava
villa-kandui,Villa Kandui,Maraú,BA,SIM,NÃO,15602,nordeste,praia,Taipu de Fora
villa-rasa,Villa Rasa,Armação de Búzios,RJ,SIM,SIM,21103,sudeste,praia,Búzios
wood,Wood,Gramado,RS,SIM,NÃO,7033,sul,Serra,Gramado
zendaya-resort,Zendaya Resort,Armação de Búzios,RJ,SIM,NÃO,9811,sudeste,praia,Búzios
